customer_id;edad;genero;estado_civil;nivel_educativo;ingreso_mensual;tipo_empleo;dependientes;tipo_vivienda;meses_en_centrales;productos_financieros_activos;score_crediticio_bureau;dias_mora_actual;max_dias_mora_12m;cliente_existente;meses_como_cliente;compras_promedio_mensual;num_compras_6m;categoria_principal;canal_aplicacion;monto_solicitado;plazo_meses;default;antiguedad_laboral_años
CUST_000001;40;M;Soltero;Secundaria;4260380;Independiente;1;Arriendo;0;3;677;0;0;1;4;343847;5;Tecnología;Tienda_Física;3001692;6;0;20,5
CUST_000002;33;M;Soltero;Universitario;1293484;Empleado;1;Familiar;146;4;683;0;1;0;0;0;0;N/A;Online;1105123;12;0;13,4
CUST_000003;42;M;Null;Secundaria;6605399;Independiente;0;Propia;9;0;533;0;0;1;95;29590;2;Ropa;Tienda_Física;1646129;6;0;18,2
CUST_000004;53;M;Casado;Técnico;8450352;Empleado;1;Arriendo;19;0;750;0;0;1;17;21608;4;Hogar;Tienda_Física;818374;24;0;34,4
CUST_000005;32;F;Soltero;Técnico;7339777;Empleado;1;Arriendo;35;3;666;0;0;0;0;0;0;N/A;Online;2568568;18;1;10,9
CUST_000006;32;M;Casado;Secundaria;5405428;Empleado;1;Arriendo;10;5;610;0;0;1;13;11110;4;Ropa;Tienda_Física;772281;24;0;13,4
CUST_000007;53;M;Casado;Técnico;7179729;Empleado;1;Arriendo;60;2;665;0;0;1;2;66284;3;Deportes;Online;1918412;18;0;26,1
CUST_000008;44;F;Casado;Universitario;3802062;Empleado;3;Propia;32;2;567;0;0;0;0;0;0;N/A;Call_Center;2206864;18;0;23,7
CUST_000009;29;M;Soltero;Secundaria;9638636;Empleado;0;Propia;41;2;704;0;0;0;0;0;0;N/A;Online;2423526;18;0;7,3
CUST_000010;41;F;Casado;Técnico;6600617;Empleado;0;Arriendo;6;5;596;0;0;0;0;0;0;N/A;Online;2944856;6;1;19,9
CUST_000011;29;F;Casado;Posgrado;3087281;Empleado;0;Arriendo;46;2;666;0;13;1;5;72492;2;Deportes;Call_Center;2064349;12;0;9,9
CUST_000012;29;M;Casado;Técnico;5910363;Empleado;1;Propia;1;2;638;0;0;1;10;160051;2;Deportes;App_Móvil;2855586;12;0;4,1
CUST_000013;37;F;Divorciado;Universitario;3218106;Independiente;1;Arriendo;13;8;528;3;3;1;54;352066;4;Hogar;Tienda_Física;1110550;24;1;16
CUST_000014;16;F;Soltero;Universitario;1623952;Empleado;2;Arriendo;20;3;504;0;6;1;13;10482;4;Ropa;App_Móvil;1172357;24;1;-2
CUST_000015;16;M;Casado;Secundaria;5157666;Independiente;4;Arriendo;3;2;486;1;1;1;3;34046;6;Ropa;Online;2386928;6;1;-2
CUST_000016;28;M;Soltero;Secundaria;3370768;Empleado;1;Arriendo;29;5;588;13;13;1;17;356702;6;Deportes;Online;1130769;18;1;3,4
CUST_000017;22;F;Soltero;Universitario;3400656;Empleado;1;Arriendo;15;0;645;0;17;1;38;392073;3;Ropa;Tienda_Física;1259244;12;0;3,8
CUST_000018;38;F;Divorciado;Universitario;2983327;Empleado;2;Arriendo;5;2;502;0;0;0;0;0;0;N/A;Tienda_Física;2190458;12;0;18,5
CUST_000019;24;F;Soltero;Primaria;3562348;Independiente;0;Propia;12;2;530;0;0;1;34;18019;4;Deportes;Tienda_Física;1080953;12;1;0,5
CUST_000020;18;M;Soltero;Secundaria;9486004;Empleado;0;Propia;31;3;658;0;0;1;17;22001;5;Deportes;Tienda_Física;1667551;36;0;0
CUST_000021;52;F;Soltero;Técnico;3650919;Empleado;1;Familiar;9;5;525;0;0;1;10;61844;4;Tecnología;Online;2494623;18;0;30,9
CUST_000022;32;M;Casado;Universitario;3588090;Independiente;1;Arriendo;22;1;610;3;3;1;14;92590;7;Ropa;Tienda_Física;1335790;6;0;12,5
CUST_000023;35;F;Casado;Técnico;2850599;Empleado;1;Propia;42;2;742;0;0;1;19;125725;4;Ropa;Tienda_Física;2244493;18;0;16,3
